window,n_pairs,log_difference,percent,ci_low_percent,ci_high_percent
early_pre,24,-0.04315404602600053,-4.223616101074944,-9.778633550292874,2.1052612987726365
late_pre,24,-0.0038198674744312766,-0.38125810613335165,-5.41396796167438,4.909070500808422
base,24,0.0,0.0,0.0,0.0
2011,24,0.049693538541078774,5.094897166403265,1.0047315641932109,9.492899112442457
2012,24,0.06393345299889329,6.602145587000953,1.2318708812897978,12.112102607785914
2013,24,0.08579230331508907,8.958000264790268,3.9630706593530642,13.946537518654228
2014,24,0.04952486362559921,5.077171788461727,-0.19443979088932947,10.818394468020207
2015,24,0.01273769159422324,1.2819161533294832,-4.872017423971293,8.087813955062693
2015_H1,24,0.01649485632509713,1.6631647549915838,-4.627045892627757,8.273919709033466
