overlap_route,control_route,pair_log_change,pair_percent_change,estimate_without_pair
IND-LAS,LAS-MKE,-0.3272629149999178,-27.910581578561207,2.790250872334347
BWI-RSW,BWI-MIA,0.19989816505479396,22.127838301019388,0.46108772356175476
MCI-MCO,MCO-MKE,0.12286919371761429,13.073650383503196,0.7981045510107535
MDW-RSW,HPN-PBI,-0.05645038916977563,-5.488662880890584,1.5870488435505476
MCO-STL,LGA-MCO,0.07771727706329812,8.081704370130542,0.9961783709593398
BWI-PBI,IND-RSW,0.011856607981493683,1.1927176181951926,1.2857961335847503
CMH-MCO,HPN-MCO,-0.03265567750362375,-3.2128237757497278,1.4820060353290296
FLL-IND,BUF-RSW,-0.11149216179162758,-10.550159735934123,1.8304500256490859
CMH-FLL,DCA-RSW,0.2704385108056546,31.053901026599217,0.1534484268230051
MCO-MDW,DFW-MCO,0.06366008812793456,6.573008287967082,1.0579242972192722
IND-TPA,MCO-ROC,-0.10275116353023273,-9.76485164951382,1.7917573878325626
MCO-PIT,ATL-MIA,0.11944041608525713,12.686609897327408,0.8131323792354934
DTW-MCO,MCO-SJU,0.003471783694476871,0.34778173159430925,1.3227273694501835
BWI-MCO,ATL-FLL,0.20704560221752644,23.00386629924769,0.4298734733408706
BWI-LAX,ATL-PHX,-0.04179074371948488,-4.092954890868357,1.522320338354064
PIT-TPA,ATL-PBI,-0.11472803436959067,-10.839140216984285,1.844777570925239
FLL-PIT,ROC-TPA,-0.23306717225620788,-20.789963543137997,2.370137651312358
IAD-MCO,BOS-MCO,-0.12759056635011312,-11.97863055173892,1.9017492263284597
BWI-SEA,MKE-SFO,-0.14283010198008972,-13.309865879417382,1.9692905276455077
BUF-MCO,MKE-TPA,-0.08140483469166293,-7.817956899463615,1.697328156891275
IND-MCO,MCO-RIC,0.09654652629946958,10.136082219519427,0.9135303705949126
BWI-FLL,DCA-MCO,-0.04294904331774663,-4.203979670296923,1.5274332176567023
BWI-TPA,ACY-MCO,0.36893866852953683,44.61989034493791,-0.27455315185146534
MCO-PHL,ATL-MCO,0.17879456236437496,19.577506173111676,0.553307889702156
